contributors,coordinates,created_at,display_text_range.0,display_text_range.1,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata.iso_language_code,metadata.result_type,place,possibly_sensitive,retweet_count,retweeted,retweeted_status.contributors,retweeted_status.coordinates,retweeted_status.created_at,retweeted_status.display_text_range.0,retweeted_status.display_text_range.1,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.full_text,retweeted_status.geo,retweeted_status.id,retweeted_status.id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.is_quote_status,retweeted_status.lang,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.place,retweeted_status.possibly_sensitive,retweeted_status.retweet_count,retweeted_status.retweeted,retweeted_status.source,retweeted_status.truncated,retweeted_status.user.contributors_enabled,retweeted_status.user.created_at,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.description,retweeted_status.user.entities.url.urls.0.display_url,retweeted_status.user.entities.url.urls.0.expanded_url,retweeted_status.user.entities.url.urls.0.indices.0,retweeted_status.user.entities.url.urls.0.indices.1,retweeted_status.user.entities.url.urls.0.url,retweeted_status.user.favourites_count,retweeted_status.user.follow_request_sent,retweeted_status.user.followers_count,retweeted_status.user.following,retweeted_status.user.friends_count,retweeted_status.user.geo_enabled,retweeted_status.user.has_extended_profile,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.is_translation_enabled,retweeted_status.user.is_translator,retweeted_status.user.lang,retweeted_status.user.listed_count,retweeted_status.user.location,retweeted_status.user.name,retweeted_status.user.notifications,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.protected,retweeted_status.user.screen_name,retweeted_status.user.statuses_count,retweeted_status.user.time_zone,retweeted_status.user.translator_type,retweeted_status.user.url,retweeted_status.user.utc_offset,retweeted_status.user.verified,source,truncated,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls.0.display_url,user.entities.description.urls.0.expanded_url,user.entities.description.urls.0.indices.0,user.entities.description.urls.0.indices.1,user.entities.description.urls.0.url,user.entities.url.urls.0.display_url,user.entities.url.urls.0.expanded_url,user.entities.url.urls.0.indices.0,user.entities.url.urls.0.indices.1,user.entities.url.urls.0.url,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
,,Mon Sep 16 15:50:26 +0000 2019,,144,,,RT @RestaurantsCA: Join the 'Understanding #PlantBased Eating in the Canadian #Foodservice Market' #webinar w/ @GoodFoodInst &amp; @UnileverFS_…,,1173625195778772992,1173625195778772992,,,,,,,en,en,recent,,,1,,,,Mon Sep 16 15:42:01 +0000 2019,,288,,,Join the 'Understanding #PlantBased Eating in the Canadian #Foodservice Market' #webinar w/ @GoodFoodInst &amp; @UnileverFS_NA. Gain insight into how you can incorporate #plantbasedfoods &amp; understand what global #macrotrends are driving the movement. Register: https://t.co/geX7yLsZlC,,1173623078179540992,1173623078179540992,,,,,,,en,en,recent,,,1,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,Thu Aug 19 21:02:05 +0000 2010,,,Restaurants Canada (formerly CRFA) is advancing the potential of the foodservice community. Our industry employs 1.2 million people and serves 22 million daily!,restaurantscanada.org,http://restaurantscanada.org,,22,http://t.co/kUwrButteL,11507,,10763,,3665,True,True,180522017,180522017,,,,381,Canada,Restaurants Canada,,404C57,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/180522017/1440705551,http://pbs.twimg.com/profile_images/1146052590460964864/ghv4XFeu_normal.png,https://pbs.twimg.com/profile_images/1146052590460964864/ghv4XFeu_normal.png,EE3426,C0DEED,DDEEF6,333333,,,RestaurantsCA,24625,,none,http://t.co/kUwrButteL,,True,"<a href=""http://discussionexpress.com"" rel=""nofollow"">Targeted Learning</a>",,,Thu May 06 23:33:58 +0000 2010,,,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",,,,,,earthsoldier.org,https://earthsoldier.org,,23,https://t.co/ilzZSeCYWQ,3439,,2141,,923,,,141009810,141009810,,,,25,NJ,Earth Soldier Common Sense Lifestyle,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/141009810/1518625892,http://pbs.twimg.com/profile_images/979327429817913344/-HoLoyzn_normal.jpg,https://pbs.twimg.com/profile_images/979327429817913344/-HoLoyzn_normal.jpg,1B95E0,C0DEED,DDEEF6,333333,,,imagine_garden,80690,,none,https://t.co/ilzZSeCYWQ,,
,,Mon Sep 16 15:50:01 +0000 2019,,140,,,"RT @uwstout: Pranabendu Mitra, food science assistant professor, will be speaking on @WPR tomorrow morning at 6:30a to speak about #PlantBa…",,1173625091906781184,1173625091906781184,,,,,,,en,en,recent,,,1,,,,Mon Sep 16 15:30:34 +0000 2019,,268,1,,"Pranabendu Mitra, food science assistant professor, will be speaking on @WPR tomorrow morning at 6:30a to speak about #PlantBasedFoods. He'll explain the terminology and if these products are healthier than meat based products. 🍔 #UWStout
Link: https://t.co/j1rNdjtC34 https://t.co/UHzgTRQMVY",,1173620195769929728,1173620195769929728,,,,,,,en,en,recent,,,1,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,Mon Dec 22 01:52:59 +0000 2008,,,"The only UW named after a person. This is University of Wisconsin-Stout's official Twitter. We are #StoutProud. 💙  
News: @UWStoutNews",uwstout.edu,http://www.uwstout.edu,,22,http://t.co/YRZvN75119,1614,,5565,,265,True,,18297817,18297817,,,,88,"Menomonie, WI",UW-Stout,,206A9E,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,,https://pbs.twimg.com/profile_banners/18297817/1549492688,http://pbs.twimg.com/profile_images/930176578943963139/I4ROBp3a_normal.jpg,https://pbs.twimg.com/profile_images/930176578943963139/I4ROBp3a_normal.jpg,E58D2B,FFFFFF,DDFFCC,333333,True,,uwstout,4581,,none,http://t.co/YRZvN75119,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,Mon Mar 28 02:22:20 +0000 2011,,,UW-Stout's student-run news source.,,,,,,stoutonia-online.com,http://www.stoutonia-online.com,,23,https://t.co/2M7c61gOq0,151,,653,,129,,,273222121,273222121,,,,19,"Menomonie, Wisconsin",Stoutonia,,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,,https://pbs.twimg.com/profile_banners/273222121/1568044429,http://pbs.twimg.com/profile_images/786567957375692801/_f-pW1ts_normal.jpg,https://pbs.twimg.com/profile_images/786567957375692801/_f-pW1ts_normal.jpg,2FC2EF,181A1E,252429,666666,True,,stoutonia,1258,,none,https://t.co/2M7c61gOq0,,
,,Mon Sep 16 15:42:01 +0000 2019,,288,,,Join the 'Understanding #PlantBased Eating in the Canadian #Foodservice Market' #webinar w/ @GoodFoodInst &amp; @UnileverFS_NA. Gain insight into how you can incorporate #plantbasedfoods &amp; understand what global #macrotrends are driving the movement. Register: https://t.co/geX7yLsZlC,,1173623078179540992,1173623078179540992,,,,,,,en,en,recent,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,Thu Aug 19 21:02:05 +0000 2010,,,Restaurants Canada (formerly CRFA) is advancing the potential of the foodservice community. Our industry employs 1.2 million people and serves 22 million daily!,,,,,,restaurantscanada.org,http://restaurantscanada.org,,22,http://t.co/kUwrButteL,11507,,10763,,3665,True,True,180522017,180522017,,,,381,Canada,Restaurants Canada,,404C57,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/180522017/1440705551,http://pbs.twimg.com/profile_images/1146052590460964864/ghv4XFeu_normal.png,https://pbs.twimg.com/profile_images/1146052590460964864/ghv4XFeu_normal.png,EE3426,C0DEED,DDEEF6,333333,,,RestaurantsCA,24625,,none,http://t.co/kUwrButteL,,True
,,Mon Sep 16 15:30:34 +0000 2019,,268,1,,"Pranabendu Mitra, food science assistant professor, will be speaking on @WPR tomorrow morning at 6:30a to speak about #PlantBasedFoods. He'll explain the terminology and if these products are healthier than meat based products. 🍔 #UWStout
Link: https://t.co/j1rNdjtC34 https://t.co/UHzgTRQMVY",,1173620195769929728,1173620195769929728,,,,,,,en,en,recent,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,Mon Dec 22 01:52:59 +0000 2008,,,"The only UW named after a person. This is University of Wisconsin-Stout's official Twitter. We are #StoutProud. 💙  
News: @UWStoutNews",,,,,,uwstout.edu,http://www.uwstout.edu,,22,http://t.co/YRZvN75119,1614,,5565,,265,True,,18297817,18297817,,,,88,"Menomonie, WI",UW-Stout,,206A9E,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,,https://pbs.twimg.com/profile_banners/18297817/1549492688,http://pbs.twimg.com/profile_images/930176578943963139/I4ROBp3a_normal.jpg,https://pbs.twimg.com/profile_images/930176578943963139/I4ROBp3a_normal.jpg,E58D2B,FFFFFF,DDFFCC,333333,True,,uwstout,4581,,none,http://t.co/YRZvN75119,,
,,Mon Sep 16 15:21:55 +0000 2019,,164,1,,#Scandinavia #plantbasedfoods #plantbased #viden #fødevarer #trend #foodnews #foodindustry #foodbusiness #foodsector #foodtrends #foodforthought #volkertsfylke #mat,,1173618020733915137,1173618020733915137,Procudan,1173618018196361216,1173618018196361216,4559969434,4559969434,,und,und,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,Mon Dec 21 19:12:20 +0000 2015,True,,"We are experts in ingredients and packaging for food, and we believe that value is co-created!",,,,,,procudan.com,http://procudan.com,,23,https://t.co/cIV7drIX1d,54,,35,,24,,,4559969434,4559969434,,,,2,,Procudan,,F5F8FA,,,,https://pbs.twimg.com/profile_banners/4559969434/1560938166,http://pbs.twimg.com/profile_images/1156544051711229952/zyO_GP0y_normal.jpg,https://pbs.twimg.com/profile_images/1156544051711229952/zyO_GP0y_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,,Procudan,114,,none,https://t.co/cIV7drIX1d,,
,,Mon Sep 16 14:50:28 +0000 2019,,171,,,"[FEED THEM WELL!] As soon as children begin eating solid food, it's important to feed them a variety of whole, plant-based foods. #PlantBasedFoods #WholePlantBasedFoods RT https://t.co/JteTNgpNbb",,1173610106094833665,1173610106094833665,,,,,,,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",,,Fri Jan 30 04:01:52 +0000 2015,True,,Physician • Mom to 4 boys • Best Selling Author❤️🤩 • Motivational Speaker https://t.co/3WRywzZW1D,holisticmommd.com,http://www.holisticmommd.com,74,97,https://t.co/3WRywzZW1D,HolisticMomMD.com,http://www.HolisticMomMD.com,,23,https://t.co/mwgEAiDbaW,115,,316,,46,,,3004896761,3004896761,,,,8,"Naperville, IL","Madiha Saeed,MD",,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/3004896761/1549431337,http://pbs.twimg.com/profile_images/615692762571231233/hlbEn6gS_normal.jpg,https://pbs.twimg.com/profile_images/615692762571231233/hlbEn6gS_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,,HolisticMomMD,2116,,none,https://t.co/mwgEAiDbaW,,
,,Sun Sep 15 19:14:57 +0000 2019,,140,,,RT @TOFWD: Love this? Then come and eat with us! All of our food is vegan! organic #glutenfree #dairyfree #vegan #plantbasedfoods #plantbas…,,1173314276095942656,1173314276095942656,,,,,,,en,en,recent,,,1,,,,Sun Sep 15 19:13:52 +0000 2019,,231,,,Love this? Then come and eat with us! All of our food is vegan! organic #glutenfree #dairyfree #vegan #plantbasedfoods #plantbaseddiet #healthyfood #wholefoods #degravesstreet #loveyourself #selflove #funny… https://t.co/UAGVzm6Hsh,,1173314006779604994,1173314006779604994,,,,,,,en,en,recent,,,1,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,Wed May 02 09:35:42 +0000 2012,True,,Our organic cafes have everything you need that is healthy and organic.,tofwd.com.au,http://www.tofwd.com.au,,22,http://t.co/y0UHunQVzM,10,,104,,40,,,568957121,568957121,,,,12,28 Degraves St. Melbourne,Jeanette taylor,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,,http://pbs.twimg.com/profile_images/2184113997/tofwd__logo_colour_normal.jpg,https://pbs.twimg.com/profile_images/2184113997/tofwd__logo_colour_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,,TOFWD,879,,none,http://t.co/y0UHunQVzM,,,"<a href=""http://discussionexpress.com"" rel=""nofollow"">Targeted Learning</a>",,,Thu May 06 23:33:58 +0000 2010,,,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",,,,,,earthsoldier.org,https://earthsoldier.org,,23,https://t.co/ilzZSeCYWQ,3439,,2141,,923,,,141009810,141009810,,,,25,NJ,Earth Soldier Common Sense Lifestyle,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/141009810/1518625892,http://pbs.twimg.com/profile_images/979327429817913344/-HoLoyzn_normal.jpg,https://pbs.twimg.com/profile_images/979327429817913344/-HoLoyzn_normal.jpg,1B95E0,C0DEED,DDEEF6,333333,,,imagine_garden,80690,,none,https://t.co/ilzZSeCYWQ,,
,,Sun Sep 15 19:13:52 +0000 2019,,231,,,Love this? Then come and eat with us! All of our food is vegan! organic #glutenfree #dairyfree #vegan #plantbasedfoods #plantbaseddiet #healthyfood #wholefoods #degravesstreet #loveyourself #selflove #funny… https://t.co/UAGVzm6Hsh,,1173314006779604994,1173314006779604994,,,,,,,en,en,recent,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,Wed May 02 09:35:42 +0000 2012,True,,Our organic cafes have everything you need that is healthy and organic.,,,,,,tofwd.com.au,http://www.tofwd.com.au,,22,http://t.co/y0UHunQVzM,10,,104,,40,,,568957121,568957121,,,,12,28 Degraves St. Melbourne,Jeanette taylor,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,,http://pbs.twimg.com/profile_images/2184113997/tofwd__logo_colour_normal.jpg,https://pbs.twimg.com/profile_images/2184113997/tofwd__logo_colour_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,,TOFWD,879,,none,http://t.co/y0UHunQVzM,,
,,Sun Sep 15 04:56:58 +0000 2019,,206,1,,"With @BeyondMeat and @ImpossibleFoods leading the market for #plantbasedfoods, #investors see opportunities in startups playing supporting roles  

https://t.co/Lh5S7WOTzh via @WSJ

#NaturesFoodCompany #GGH",,1173098358157692929,1173098358157692929,,,,,,,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,Thu Aug 29 13:36:56 +0000 2019,True,,"Natures Food Company- A Go Green Holdings Company, is a revolutionary supplier of clean meats. Focusing on tasty plant based beef, pork, chicken, Sea food ++",,,,,,,,,,,145,,25,,121,,,1167068322547953665,1167068322547953665,,,,,"Melbourne, Victoria",Natures Food Company - a Go Green Holdings company,,F5F8FA,,,,https://pbs.twimg.com/profile_banners/1167068322547953665/1567140686,http://pbs.twimg.com/profile_images/1167068809066246145/TC9QyCbs_normal.jpg,https://pbs.twimg.com/profile_images/1167068809066246145/TC9QyCbs_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,,food_natures,35,,none,,,
,,Sun Sep 15 01:32:12 +0000 2019,,188,4,,This is the pic you take when you have @QuornUS    meatless nuggets with buffalo sauce and tater tots with homemade vegan ranch! #plantbasedfoods #houstonvegans #doitfortheaninmals #delish https://t.co/6dPsnRhARX,,1173046828390072320,1173046828390072320,,,,,,,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,Mon Feb 13 05:14:41 +0000 2017,True,,"Love to teach! 📚
CFISD math resource teacher, Valdosta State University grad.",,,,,,,,,,,6463,,134,,327,True,,831008672293801984,831008672293801984,,,,1,Georgia Peach in H-town,Christy D Bellflower,,F5F8FA,,,,https://pbs.twimg.com/profile_banners/831008672293801984/1566691056,http://pbs.twimg.com/profile_images/1064488359144431616/Xga0nT5Y_normal.jpg,https://pbs.twimg.com/profile_images/1064488359144431616/Xga0nT5Y_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,,belladawn71,492,,none,,,
,,Sat Sep 14 16:37:23 +0000 2019,,233,,,"#blackgold
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#nature #natureofinstagram #blackandwhitephotography #blackandwhite #naturelover #pepper #plantcollection #nature_pics #plantsagram #black #plantbasedfoods #naturegood… https://t.co/7N7J9mJJhp",,1172912236991602688,1172912236991602688,,,,,,,und,und,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,Tue Feb 16 13:16:23 +0000 2010,,,,,,,,,facebook.com/eldhoe.joy,http://www.facebook.com/eldhoe.joy,,23,https://t.co/nqmOEQH46t,6,,171,,165,,True,114740931,114740931,,,,18,Ernakulam,Eldhoe Joy,,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,,https://pbs.twimg.com/profile_banners/114740931/1496940911,http://pbs.twimg.com/profile_images/1070734116914552832/XCGGe9uq_normal.jpg,https://pbs.twimg.com/profile_images/1070734116914552832/XCGGe9uq_normal.jpg,0099B9,5ED4DC,95E8EC,3C3940,True,,eldhoejoy,606,,none,https://t.co/nqmOEQH46t,,
,,Sat Sep 14 16:21:00 +0000 2019,,135,,,.@USNewsHealth: Can Eating More #PlantBasedFoods Help Manage #Diabetes? Get the answers: https://t.co/4kefaHk1NN #HealthyLiving #Health,,1172908112488960001,1172908112488960001,,,,,,,en,en,recent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,Thu Apr 24 14:02:12 +0000 2014,,,"Smart Meter’s iGlucose® Cellular Diabetes Care Solution - simple, affordable connected health technology for real-time patient-to-provider BG results.",,,,,,iglucose.com,http://www.iglucose.com,,22,http://t.co/qZHJZqxoTi,451,,1120,,325,,,2461687388,2461687388,True,,,31,United States,iGlucose,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/2461687388/1524753167,http://pbs.twimg.com/profile_images/989512744461254658/DRHhJkcY_normal.jpg,https://pbs.twimg.com/profile_images/989512744461254658/DRHhJkcY_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,,iGlucose,2890,,none,http://t.co/qZHJZqxoTi,,
